Player,Team,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Nyjer Morgan,WAS,43,136,509,60,129,17,7,0,24,34,17,40,88,15,3,10,.253,.319,.314,.633
Andres Torres,SF,45,139,507,84,136,43,8,16,63,26,7,56,128,5,0,2,.268,.343,.479,.822
Alfonso Soriano,CHC,47,147,496,67,128,40,3,24,79,5,1,45,123,1,3,3,.258,.322,.496,.818
Justin Upton,ARI,36,133,495,73,135,27,3,17,69,18,8,64,152,1,7,4,.273,.356,.442,.798
Hideki Matsui,LAA,49,145,482,55,132,24,1,21,84,0,1,67,98,0,4,1,.274,.361,.459,.820
J.D. Drew,BOS,47,139,478,69,122,24,2,22,68,3,1,60,105,0,4,4,.255,.341,.452,.793
Brett Gardner,NYY,40,150,477,97,132,20,7,5,47,47,9,79,101,5,3,5,.277,.383,.379,.762
Skip Schumaker,STL,43,137,476,66,126,18,1,5,42,5,3,43,64,2,4,4,.265,.328,.338,.666
Curtis Granderson,NYY,42,136,466,76,115,17,7,24,67,12,2,53,116,4,3,2,.247,.324,.468,.792
Brennan Boesch,DET,38,133,464,49,119,26,3,14,67,7,1,40,99,0,3,5,.256,.320,.416,.736
Colby Rasmus,STL,37,144,464,85,128,28,3,23,66,12,8,63,148,2,4,1,.276,.361,.498,.859
Melky Cabrera,ATL,39,147,458,50,117,27,3,4,42,7,1,42,64,5,3,1,.255,.317,.354,.671
Carlos Quentin,CWS,41,131,453,73,110,25,2,26,87,2,2,50,83,0,4,20,.243,.342,.479,.821
Cody Ross,FLA,42,120,452,60,120,24,3,11,58,9,1,30,100,0,1,4,.265,.316,.405,.721
Trevor Crowe,CLE,39,122,442,48,111,24,3,2,36,20,7,29,73,5,0,3,.251,.302,.333,.635
Dexter Fowler,COL,37,132,439,73,114,20,14,6,36,13,8,57,104,7,0,2,.260,.347,.410,.757
Julio Borbon,TEX,37,137,438,60,121,11,4,3,42,15,7,19,59,8,1,2,.276,.309,.340,.649
Fred Lewis,TOR,42,110,428,70,112,31,5,8,36,17,6,38,104,1,4,9,.262,.332,.414,.746
David Murphy,TEX,41,138,419,54,122,26,2,12,65,14,2,45,71,0,3,0,.291,.358,.449,.807
Juan Rivera,LAA,45,124,416,53,105,20,0,15,52,2,2,33,58,0,2,4,.252,.312,.409,.721
Roger Bernadina,WAS,39,134,414,52,102,18,3,11,47,16,2,35,93,2,6,4,.246,.307,.384,.691
